	pos_US	neg_US	pos_World	neg_World
0	0.6217439316240843	0.37825606837591585	0.5937364608766782	0.4062635391233217
1	0.6778399964448641	0.322160003555136	0.6224468728803884	0.3775531271196117
2	0.5898269217549899	0.41017307824501004	0.5735180343634192	0.4264819656365807
3	0.6498376370714847	0.35016236292851544	0.6176979674528651	0.38230203254713474
4	0.6230054765760046	0.3769945234239956	0.6767339713238383	0.3232660286761617
5	0.6277360128739811	0.372263987126019	0.6267041603804904	0.3732958396195094
6	0.6274465370791448	0.3725534629208553	0.6626714885805416	0.3373285114194583
7	0.5939171791161227	0.40608282088387715	0.7184411833330486	0.2815588166669513
8	0.634990358683216	0.36500964131678415	0.7416160329456463	0.25838396705435385
9	0.6406875971828733	0.35931240281712656	0.6756567022997341	0.3243432977002659
10	0.6286913859997045	0.3713086140002955	0.6814931837680956	0.3185068162319043
11	0.6712196665365703	0.32878033346342994	0.6639591852849642	0.3360408147150357
